,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
256,680000.0,Casablanca,1.0,2.0,2.0,57.0,1,1,1,1,1,1,0,0,1,1,0
257,850000.0,Casablanca,1.0,2.0,2.0,66.0,1,0,0,0,0,1,0,0,1,1,1
258,1100000.0,Kénitra,1.0,3.0,1.0,110.0,1,1,1,1,1,1,0,0,1,1,1
259,1200000.0,Rabat,1.0,2.0,1.0,85.0,1,1,0,0,0,0,0,0,0,0,1
260,250000.0,Casablanca,1.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0,0
261,890000.0,Tamaris,1.0,2.0,2.0,65.0,0,0,0,0,0,0,0,0,0,0,0
262,890000.0,Agadir,1.0,2.0,2.0,96.0,0,0,0,0,0,0,0,0,0,0,0
263,1500000.0,Agadir,2.0,2.0,2.0,128.0,0,1,0,1,1,0,1,0,1,1,1
264,700000.0,Marrakech,1.0,2.0,2.0,72.0,0,0,0,0,0,0,0,0,0,0,0
265,1280000.0,Casablanca,1.0,2.0,1.0,75.0,1,1,1,1,1,1,0,0,1,1,0
266,890000.0,Tétouan,1.0,2.0,2.0,94.0,1,1,0,1,0,1,0,1,1,1,0
267,1600000.0,Dar Bouazza,1.0,2.0,2.0,98.0,0,1,1,1,1,1,0,0,1,1,1
268,290000.0,Meknès,1.0,2.0,2.0,58.0,1,1,1,1,0,1,0,0,1,1,1
269,1170000.0,Casablanca,2.0,3.0,2.0,102.0,1,1,1,1,1,1,0,0,1,1,0
270,1590000.0,Casablanca,2.0,3.0,3.0,152.0,0,0,0,0,0,0,0,0,0,0,0
271,800000.0,Marrakech,1.0,2.0,2.0,64.0,1,0,0,0,0,0,0,0,1,0,0
272,890000.0,El Jadida,2.0,2.0,2.0,120.0,1,1,0,1,1,1,0,0,1,1,1
273,10000.0,Agadir,1.0,3.0,2.0,160.0,0,0,0,1,1,1,0,0,1,1,1
274,590000.0,Casablanca,1.0,2.0,2.0,72.0,0,0,0,0,0,0,0,0,0,0,0
275,520000.0,El Jadida,1.0,2.0,1.0,78.0,0,0,0,0,0,1,0,0,0,0,0
276,290000.0,Meknès,1.0,2.0,2.0,58.0,1,1,1,1,0,1,0,0,1,1,1
277,380000.0,Meknès,1.0,3.0,2.0,110.0,0,1,0,1,1,0,0,0,1,1,1
278,890000.0,Cabo Negro,1.0,2.0,2.0,96.0,1,1,0,0,0,1,0,0,1,1,1
279,395000.0,Sidi Allal El Bahraoui,2.0,3.0,1.0,100.0,0,1,0,0,0,0,0,0,0,0,0
280,760000.0,El Jadida,1.0,3.0,2.0,87.0,0,0,0,0,0,1,0,0,0,0,1
281,1400000.0,Casablanca,2.0,2.0,2.0,106.0,1,1,0,0,1,0,0,0,1,0,0
282,1180000.0,Kénitra,2.0,3.0,2.0,118.0,1,1,1,1,1,1,0,1,1,1,0
283,890000.0,Marrakech,1.0,2.0,2.0,123.0,1,1,1,1,1,1,0,0,1,1,1
285,912000.0,Marrakech,1.0,2.0,2.0,76.0,1,1,0,1,0,1,0,0,1,1,0
286,640000.0,Salé,1.0,2.0,1.0,80.0,0,0,0,0,0,0,0,0,0,0,0
287,390000.0,Tanger,1.0,2.0,1.0,64.0,1,1,0,0,0,0,0,0,1,1,0
288,750000.0,Bouznika,1.0,3.0,1.0,83.0,1,0,0,1,0,1,0,0,1,0,1
289,1350000.0,Marrakech,1.0,2.0,2.0,87.0,1,1,1,1,1,1,0,0,1,1,1
290,890000.0,Kénitra,1.0,2.0,2.0,100.0,0,0,0,0,0,0,0,0,0,0,0
291,630000.0,Casablanca,1.0,1.0,1.0,67.0,0,0,0,0,0,0,0,0,0,0,0
292,820000.0,Fès,2.0,3.0,2.0,150.0,1,1,0,0,1,1,0,0,1,1,1
294,890000.0,Tanger,1.0,2.0,2.0,85.0,1,1,1,1,1,1,0,1,1,1,1
295,1500000.0,Rabat,1.0,1.0,1.0,67.0,1,0,0,0,0,0,0,0,0,0,0
296,693000.0,Casablanca,1.0,3.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0
297,500000.0,Nouaceur,2.0,2.0,1.0,69.0,0,1,0,0,0,0,0,0,0,0,0
298,450000.0,Nouaceur,2.0,2.0,1.0,61.0,0,1,0,0,0,0,0,0,0,0,0
299,760000.0,Kénitra,2.0,3.0,3.0,115.0,1,1,0,0,1,1,0,0,1,1,1
300,11000.0,Tanger,1.0,2.0,2.0,135.0,0,0,0,0,0,0,0,0,0,0,0
301,890000.0,Meknès,2.0,2.0,2.0,120.0,0,0,0,0,0,0,0,0,0,0,0
